Gene_ID,Locus_Tag,Feature_Type,Name,BlastRules,COG,EC,GO,KEGG,NCBIFam,PFAM,RFAM,RefSeq,SO,UniParc,UniRef
MPDKNC_00014,MPDKNC_00014,CDS,Glutathione peroxidase,,COG0386|VI,1.11.1.9,,K00432,,,,,0001217,,UniRef50_O59858|UniRef90_A0A0M0GMP6
MPDKNC_00015,MPDKNC_00015,CDS,YaaC-like Protein,,,,,,,,,WP_238283359.1,0001217,UPI001EE3496A,UniRef100_UPI001EE3496A|UniRef50_A0A0M0GL70|UniRef90_A0A0M0GL70
MPDKNC_00016,MPDKNC_00016,CDS,inosine 5'-monophosphate dehydrogenase,WP_003226803,COG0517|T,1.1.1.205,0003938|0006164,K00088,,,,WP_053427847.1,0001217,UPI0006A9F39C,UniRef100_A0A0M0GMM8|UniRef50_P0DB88|UniRef90_A0A0M0GMM8
MPDKNC_00017,MPDKNC_00017,CDS,serine-type D-Ala-D-Ala carboxypeptidase,,COG1686|M,3.4.16.4,,K07258,,,,WP_056541997.1,0001217,UPI0006FDF51B,UniRef100_A0A5D4R8A6|UniRef50_P08750|UniRef90_A0A0M0GMF4
MPDKNC_00018,MPDKNC_00018,CDS,pyridoxal 5'-phosphate synthase subunit PdxS,WP_003247145,COG0214|H,4.3.3.6,0003824|0042823,K06215,,,,WP_048007483.1,0001217,UPI00064E461F,UniRef100_A0A0J5TFX0|UniRef50_P37527|UniRef90_A0A0J5TFX0
MPDKNC_00019,MPDKNC_00019,CDS,pyridoxal 5'-phosphate synthase glutaminase subunit PdxT,,COG0311|H,3.5.1.2|4.3.3.6,0004359|0016884|0042823,K08681,,,,WP_238283360.1,0001217,UPI001EE364F1,UniRef100_UPI001EE364F1|UniRef50_P37528|UniRef90_A0A0M0GLF8
MPDKNCJOEG_163,,regulatory_region,T-box leader,,,,,,,,RF00230,,0000140,,
MPDKNC_00020,MPDKNC_00020,CDS,serine--tRNA ligase,,COG0172|J,6.1.1.11,0000166|0004828|0005524|0006434,K01875,,,,WP_056541990.1,0001217,UPI0006F28052,UniRef100_A0A5D4R3W9|UniRef50_Q8XPE9|UniRef90_A0A0M0GL75
MPDKNC_00021,MPDKNC_00021,tRNA,tRNA-Ser(tga),,,,,,,,,,0000269,,
MPDKNC_00022,MPDKNC_00022,CDS,Hydrolase,,,,,,,,,WP_056541987.1,0001217,UPI0006FE900B,UniRef100_UPI0006FE900B|UniRef50_A0A0P6WIP6|UniRef90_A0A0M0GMN1
MPDKNC_00023,MPDKNC_00023,CDS,hypothetical protein,,,,,,,,,,,,
MPDKNC_00024,MPDKNC_00024,CDS,DUF1648 domain-containing protein,,,,,,,,,WP_238283361.1,0001217,UPI001EE207DD,UniRef100_UPI001EE207DD|UniRef50_A0A1E7DLB2|UniRef90_A0A163KD48
MPDKNC_00025,MPDKNC_00025,CDS,Formate dehydrogenase,,,,,,,,,WP_056541981.1,0001217,UPI0006FA6B1A,UniRef100_A0A5D4R8V0|UniRef50_I8J1S2|UniRef90_A0A0M0GLP1
MPDKNC_00026,MPDKNC_00026,CDS,Deoxycytidine kinase,,COG1428|F,,,,,,,WP_056541978.1,0001217,UPI0006FD6D1E,UniRef100_A0A5D4R717|UniRef50_P37529|UniRef90_A0A0M0GLG5
MPDKNC_00027,MPDKNC_00027,CDS,Deoxyguanosine kinase,,COG1428|F,2.7.1.113,,K15518,,,,WP_238283362.1,0001217,UPI001EE29A4F,UniRef100_UPI001EE29A4F|UniRef50_A0A1D7QV57|UniRef90_A0A0J5S2M8
MPDKNC_00028,MPDKNC_00028,CDS,Spore gernimation protein,,,,,,,,,WP_056541973.1,0001217,UPI0006F56F6E,UniRef100_A0A5D4R5Y4|UniRef50_P37531|UniRef90_A0A0M0GMN6
MPDKNC_00029,MPDKNC_00029,CDS,Isochorismatase,,,,,,,,,WP_238283363.1,0001217,UPI001EE35326,UniRef100_UPI001EE35326|UniRef50_A0A9W4L7C8|UniRef90_A0A0M0GMG3
MPDKNC_00030,MPDKNC_00030,CDS,tRNA adenosine(34) deaminase TadA,,COG0590|J,3.5.4.33,0002100|0008251|0008270,K11991,,,,WP_238283364.1,0001217,UPI001EE29255,UniRef100_UPI001EE29255|UniRef50_A0A2T4U299|UniRef90_A0A0M0GLP6
MPDKNC_00031,MPDKNC_00031,ncRNA,Bacterial large signal recognition particle RNA,,,,,,,,RF01854,,0000655,,
MPDKNC_00032,MPDKNC_00032,ncRNA,Bacterial small signal recognition particle RNA,,,,,,,,RF00169,,0000655,,
MPDKNC_00033,MPDKNC_00033,CDS,DNA polymerase III subunit gamma/tau,,,2.7.7.7,0003677|0003887|0005524|0006260|0009360,K02343,,,,WP_056541962.1,0001217,UPI0006FA85FA,UniRef100_A0A5D4R7U0|UniRef50_A0A5D4R7U0|UniRef90_A0A5D4R7U0
MPDKNC_00034,MPDKNC_00034,CDS,YbaB/EbfC family nucleoid-associated protein,,COG0718|K,,0003677,K09747,,,,WP_048013172.1,0001217,UPI00064F5326,UniRef100_A0A0J5W9H6|UniRef50_Q2G0T4|UniRef90_U5L4G4
MPDKNC_00035,MPDKNC_00035,CDS,recombination mediator RecR,,COG0353|L,,0003677|0006281|0006310|0046872,,,,,WP_048013171.1,0001217,UPI00064FE38A,UniRef100_A0A0J5T9C7|UniRef50_P0A454|UniRef90_D5DUS7
MPDKNC_00036,MPDKNC_00036,CDS,DUF2508 domain-containing protein,,,,,,,,,WP_053427859.1,0001217,UPI0006A9A5A8,UniRef100_A0A0M0GMG8|UniRef50_P37533|UniRef90_A0A0M0GMG8
MPDKNC_00037,MPDKNC_00037,CDS,Pro-sigmaK processing inhibitor BofA,,COG5848|DT,,,,,,,WP_048007497.1,0001217,UPI00064E7686,UniRef100_A0A0J5USB2|UniRef50_A0A084GJF2|UniRef90_A0A0P6VXT9
MPDKNC_00038,MPDKNC_00038,CDS,Thioesterase,,COG2050|Q,,,,,,,,0001217,,UniRef50_A0A1D8JEJ8|UniRef90_A0A0M0GLH5
MPDKNC_00039,MPDKNC_00039,CDS,hypothetical protein,,,,,,,,,,0001217,,UniRef50_A0A0M0GL92|UniRef90_A0A0M0GL92
MPDKNC_00040,MPDKNC_00040,rRNA,16S ribosomal RNA,,,,0005840|0003735,K01977,,,RF00177,,0001000,,
MPDKNC_00041,MPDKNC_00041,tRNA,tRNA-Ile(gat),,,,,,,,,,0000263,,
MPDKNC_00042,MPDKNC_00042,tRNA,tRNA-Ala(tgc),,,,,,,,,,0000254,,
MPDKNC_00043,MPDKNC_00043,rRNA,23S ribosomal RNA,,,,0005840|0003735,K01980,,,RF02541,,0001001,,
MPDKNC_00044,MPDKNC_00044,rRNA,5S ribosomal RNA,,,,0005840|0003735,K01985,,,RF00001,,0000652,,
MPDKNC_00045,MPDKNC_00045,CDS,hypothetical protein,,,,,,,,,,0001217,,UniRef50_A0A0M0FZB8
MPDKNC_00046,MPDKNC_00046,CDS,Sigma factor G inhibitor Gin,,COG5865|DK,,,,,,,WP_238283366.1,0001217,UPI001EE1D869,UniRef100_UPI001EE1D869|UniRef50_A0A0M0FZR3|UniRef90_A0A0M0FZR3
MPDKNC_00047,MPDKNC_00047,CDS,Lysine decarboxylase,,,,,,,,,WP_238283367.1,0001217,UPI001EE33BE6,UniRef100_UPI001EE33BE6|UniRef50_A0A0M0FYS6|UniRef90_A0A5D4R9Q2
MPDKNC_00048,MPDKNC_00048,CDS,dTMP kinase,,COG0125|F,2.7.4.9,0004798|0005524|0006233,,,,,,0001217,UPI0011E8A37B,UniRef100_A0A5D4RBY7|UniRef50_P37537|UniRef90_A0A0M0FYT2
MPDKNC_00049,MPDKNC_00049,CDS,Cyclic di-AMP receptor DarA/PstA,,COG3870|T,,,,,,,WP_048007747.1,0001217,UPI00064F80A1,UniRef100_A0A0J5VQE7|UniRef50_E7FPK3|UniRef90_A0A6F8TMH9
MPDKNC_00050,MPDKNC_00050,CDS,DUF327 domain-containing protein,,COG1728|S,,,K09770,,,,WP_056541645.1,0001217,UPI0006F1FB4B,UniRef100_A0A5D4RBS9|UniRef50_A0A511ZBZ7|UniRef90_A0A0M0FYX4
MPDKNC_00051,MPDKNC_00051,CDS,DNA polymerase III subunit delta',,COG0470|L,2.7.7.7,0003887|0006260|0008408,,,,,,0001217,,UniRef50_A0A1J9XZJ0|UniRef90_A0A5D4R7E3
MPDKNC_00052,MPDKNC_00052,CDS,Stage 0 sporulation family protein,,COG1774|T,,,,,,,WP_053430007.1,0001217,UPI0006A9CDAD,UniRef100_A0A0M0FZQ8|UniRef50_G5GKZ6|UniRef90_A0A0M0FZQ8
MPDKNC_00053,MPDKNC_00053,CDS,Initiation-control protein YabA,,,,,,,,,,0001217,,UniRef50_Q8YAG2
MPDKNC_00054,MPDKNC_00054,CDS,Methyltransferase small domain-containing protein,,COG4123|J,,,,,,,WP_056541655.1,0001217,UPI0006FCCA8E,UniRef100_UPI0006FCCA8E|UniRef50_P37543|UniRef90_A0A0M0FYS7
MPDKNC_00055,MPDKNC_00055,CDS,16S rRNA (cytidine(1402)-2'-O)-methyltransferase,,COG0313|J,2.1.1.198,0000451|0008649|0008757,K07056,,,,WP_238283368.1,0001217,UPI001EE171EE,UniRef100_UPI001EE171EE|UniRef50_P37544|UniRef90_A0A0M0FYW9
MPDKNC_00056,MPDKNC_00056,CDS,AbrB/MazE/SpoVT family DNA-binding domain-containing protein,,COG5845|DK,,,,,,,WP_048007712.1,0001217,UPI00064EE599,UniRef100_A0A0J5USD0|UniRef50_A0A090IU26|UniRef90_A0A0J5USD0
MPDKNC_00057,MPDKNC_00057,CDS,methionine--tRNA ligase,,COG0143|J,6.1.1.10,0000049|0004825|0005524|0006431,,,,,,0001217,,UniRef50_P23920|UniRef90_A0A0M0FYT6
MPDKNC_00058,MPDKNC_00058,CDS,Hydrolase TatD,,COG0084|N,3.1.21.-,,K03424,,,,WP_238283369.1,0001217,UPI001EE1708C,UniRef100_UPI001EE1708C|UniRef50_P23918|UniRef90_A0A0J5S120
MPDKNC_00059,MPDKNC_00059,CDS,G5 domain-containing protein,,COG3584|S,,,,,,,WP_238283370.1,0001217,UPI001EE1F4D9,UniRef100_UPI001EE1F4D9|UniRef50_A0A0U2Z6M8|UniRef90_A0A0M0FYU4
MPDKNC_00060,MPDKNC_00060,CDS,ribonuclease M5,,COG1658|J,3.1.26.8,0006364|0043822,K05985,,,,WP_053430003.1,0001217,UPI0006A9E4F0,UniRef100_A0A0M0FYR6|UniRef50_Q1WV74|UniRef90_A0A0M0FYR6
MPDKNC_00061,MPDKNC_00061,CDS,16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA,,COG0030|J,2.1.1.182,0000179|0006364,,,,,WP_238283371.1,0001217,UPI001EE2F134,UniRef100_UPI001EE2F134|UniRef50_P37468|UniRef90_A0A0M0FYS2
MPDKNC_00062,MPDKNC_00062,CDS,sporulation peptidase YabG,,COG5866|DO,3.4.-.-,0008233|0030436,K06436,,,,WP_238283372.1,0001217,UPI001EE2C503,UniRef100_UPI001EE2C503|UniRef50_A0A5C0WFL3|UniRef90_A0A5D4R7D6
MPDKNC_00063,MPDKNC_00063,CDS,biofilm formation stimulator Veg,,COG4466|S,,0003700|0006355|0046983,,,,,WP_048007716.1,0001217,UPI00064E21C2,UniRef100_A0A0J5UNC3|UniRef50_Q49V03|UniRef90_A0A6F8TLL9
MPDKNC_00064,MPDKNC_00064,CDS,Protein sspF,,COG5854|D,,,K06423,,,,WP_053430000.1,0001217,UPI0006A99F4A,UniRef100_A0A0M0FZP7|UniRef50_B8I2A2|UniRef90_A0A0M0FZP7
MPDKNC_00065,MPDKNC_00065,CDS,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,,COG1947|I,2.7.1.148,0016114|0050515,K00919,,,,WP_079513571.1,0001217,UPI0009A8CD76,UniRef100_A0A5D4RCS1|UniRef50_P37550|UniRef90_A0A0M0FYR0
MPDKNC_00066,MPDKNC_00066,CDS,pur operon repressor,,COG0503|F,,0003677|0006355|0009116|0045892|0045982,K09685,,,,WP_053429998.1,0001217,UPI0006A9A240,UniRef100_A0A0M0FYR7|UniRef50_I0JH29|UniRef90_A0A0M0FYR7
MPDKNC_00067,MPDKNC_00067,CDS,Endoribonuclease L-PSP,,COG0251|V,,,,,,,WP_238283373.1,0001217,UPI001EE36E41,UniRef100_UPI001EE36E41|UniRef50_A0A084GB67|UniRef90_A0A0M0FYV9
MPDKNC_00068,MPDKNC_00068,CDS,septation regulator SpoVG,,COG2088|D,,0000917|0030435|0030436,K06412,,,,WP_048007721.1,0001217,UPI00064E36D9,UniRef100_A0A0J5RZK9|UniRef50_Q81J99|UniRef90_Q81J99
MPDKNC_00069,MPDKNC_00069,CDS,bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU,,COG1207|M,2.3.1.157|2.7.7.23,0000287|0003977|0006048|0009252|0019134,K04042,,,,WP_238283374.1,0001217,UPI001EE2EA48,UniRef100_UPI001EE2EA48|UniRef50_P14192|UniRef90_A0A0M0FYY4
MPDKNC_00070,MPDKNC_00070,CDS,ribose-phosphate diphosphokinase,,COG0462|F,2.7.6.1,0004749|0009156,K00948,,,,WP_053429996.1,0001217,UPI0006A982AF,UniRef100_A0A0M0FZP1|UniRef50_P65240|UniRef90_A0A0M0FZP1
MPDKNC_00071,MPDKNC_00071,CDS,50S ribosomal protein L25/general stress protein Ctc,,COG1825|J,,0003735|0005840|0006412|0008097,K02897,,,,WP_238283375.1,0001217,UPI001EE2E74F,UniRef100_UPI001EE2E74F|UniRef50_A0A0U2ZHR9|UniRef90_A0A0M0FYQ5
MPDKNC_00072,MPDKNC_00072,CDS,aminoacyl-tRNA hydrolase,,COG0193|J,3.1.1.29,0004045,,,,,WP_056541675.1,0001217,UPI0006FA0DF7,UniRef100_A0A5D4R7C7|UniRef50_P37470|UniRef90_A0A0M0FYR3
MPDKNC_00073,MPDKNC_00073,CDS,Anti-sigma-F factor Fin family protein,,COG5867|DT,,,,,,,WP_238283376.1,0001217,UPI001EE2CAE0,UniRef100_UPI001EE2CAE0|UniRef50_P37553|UniRef90_A0A0J5S5R5
MPDKNC_00074,MPDKNC_00074,CDS,transcription-repair coupling factor,,COG1197|LK,5.6.2.4,0003684|0005524|0006281,K03723,,,,WP_238283377.1,0001217,UPI001EE1A2A6,UniRef100_UPI001EE1A2A6|UniRef50_Q81J94|UniRef90_A0A0M0FZ93
MPDKNC_00075,MPDKNC_00075,CDS,stage V sporulation protein T,,COG5845|DK,,0003700|0006355|0030436,,,,,WP_056541679.1,0001217,UPI0006FD536F,UniRef100_A0A5D4RCR2|UniRef50_A0A0D0FRZ5|UniRef90_A0A6I6UAG4
MPDKNC_00076,MPDKNC_00076,CDS,Polysaccharide biosynthesis protein,,COG5841|D,,,,,,,,0001217,,UniRef50_A0A147K4X8|UniRef90_A0A0M0FZC3
MPDKNC_00077,MPDKNC_00077,CDS,nucleoside triphosphate pyrophosphohydrolase,,COG3956|R,3.6.1.9,,K02499,,,,,0001217,,UniRef50_P37556|UniRef90_A0A0M0FZR8
MPDKNC_00078,MPDKNC_00078,CDS,RNA-binding S4 domain-containing protein,,COG1188|J,,,K04762,,,,,0001217,,UniRef50_P37557|UniRef90_A0A0J5UPI5
MPDKNC_00079,MPDKNC_00079,CDS,sporulation protein YabP,,COG5868|D,,0030435,,,,,WP_048007754.1,0001217,UPI00064F8B10,UniRef100_A0A0J5XNP5|UniRef50_P37558|UniRef90_A0A0J5XNP5
MPDKNC_00080,MPDKNC_00080,CDS,spore cortex biosynthesis protein YabQ,,COG5869|D,,0034301,,,,,WP_238283380.1,0001217,UPI001EE297CA,UniRef100_UPI001EE297CA|UniRef50_A0A5B8YZ12|UniRef90_A0A5D4R9E6
MPDKNC_00081,MPDKNC_00081,CDS,Cell division protein DIVIC,,COG2919|D,,,K13052,,,,WP_053429990.1,0001217,UPI0006A950AC,UniRef100_A0A0M0FYQ8|UniRef50_A0A0C2W7A1|UniRef90_A0A0M0FYQ8
MPDKNC_00082,MPDKNC_00082,CDS,S1 domain-containing RNA-binding protein,,COG1098|R,,0003676,,,,,WP_238283381.1,0001217,UPI001EE26A7F,UniRef100_UPI001EE26A7F|UniRef50_P37560|UniRef90_A0A6F8TMI2
MPDKNC_00083,MPDKNC_00083,tRNA,tRNA-Glu(ttc),,,,,,,,,,0000259,,
MPDKNC_00084,MPDKNC_00084,tRNA,tRNA-Met(cat),,,,,,,,,,0000266,,
MPDKNC_00085,MPDKNC_00085,CDS,stage II sporulation protein E,,COG5817|D,3.1.3.16,0004722|0016020|0030436,K06382,,,,WP_056541688.1,0001217,UPI0006F368EA,UniRef100_UPI00295E73F9|UniRef50_P37475|UniRef90_A0A5D4R769
MPDKNC_00086,MPDKNC_00086,CDS,VWFA domain-containing protein,,,,,,,,,WP_048007733.1,0001217,UPI00064E553D,UniRef100_A0A5D4RB52|UniRef50_P37561|UniRef90_A0A6F8TM40
MPDKNC_00087,MPDKNC_00087,CDS,Serine/threonine protein kinase,,COG0515|T,,,,,,,,0001217,,UniRef50_A0A0A8WYC9|UniRef90_A0A0M0FYX9
MPDKNC_00088,MPDKNC_00088,CDS,tRNA(Ile)-lysidine synthase,,,6.3.4.19,,K04075,,,,WP_238283383.1,0001217,UPI001EE2C220,UniRef100_UPI001EE2C220|UniRef50_A0A0P6WP48|UniRef90_A0A0M0FYP4
MPDKNC_00089,MPDKNC_00089,CDS,hypoxanthine phosphoribosyltransferase,,COG0634|F,2.4.2.8,0006166,K00760,,,,WP_048007735.1,0001217,UPI00064EC387,UniRef100_A0A0J5S628|UniRef50_P37472|UniRef90_A0A0J5S628
MPDKNC_00090,MPDKNC_00090,CDS,ATP-dependent zinc metalloprotease FtsH,,COG0465|O,,0004222|0006508|0016020|0016887|0051301,,,,,WP_056541694.1,0001217,UPI0006F4164B,UniRef100_A0A5D4R7B9|UniRef50_P37476|UniRef90_A0A0M0FYU3
MPDKNC_00091,MPDKNC_00091,CDS,type III pantothenate kinase,,COG1521|H,2.7.1.33,,K03525,,,,WP_053429984.1,0001217,UPI0006A9C8B8,UniRef100_A0A0M0FZ84|UniRef50_P37564|UniRef90_A0A0M0FZ84
MPDKNC_00092,MPDKNC_00092,CDS,Hsp33 family molecular chaperone HslO,,COG1281|O,,0006457|0051082,K04083,,,,WP_238283384.1,0001217,UPI001EE3609F,UniRef100_UPI001EE3609F|UniRef50_P37565|UniRef90_A0A0M0FZM4
MPDKNC_00093,MPDKNC_00093,CDS,peptidylprolyl isomerase,,COG0760|O,,,,,,,WP_238283385.1,0001217,UPI001EE1B312,UniRef100_UPI001EE1B312|UniRef50_A0A6F8TLP8|UniRef90_A0A0M0FYN9
MPDKNC_00094,MPDKNC_00094,CDS,FMN-binding protein,,,,,,,,,WP_056541703.1,0001217,UPI0006FFE3A3,UniRef100_UPI0006FFE3A3|UniRef50_A0A0V8J8C5|UniRef90_UPI003457B19B
MPDKNC_00095,MPDKNC_00095,CDS,FAD:protein FMN transferase,,,2.7.1.180,,K03734,,,,WP_238283386.1,0001217,UPI001EE17A71,UniRef100_UPI001EE17A71|UniRef50_UPI00279B6CB1|UniRef90_UPI00279B6CB1
MPDKNC_00096,MPDKNC_00096,CDS,RnfABCDGE type electron transport complex subunit D,,,,,,,,,WP_238283387.1,0001217,UPI001EE25EE9,UniRef100_UPI001EE25EE9|UniRef50_UPI00296EC010|UniRef90_UPI00296EC010
MPDKNC_00097,MPDKNC_00097,CDS,NAD(P)/FAD-dependent oxidoreductase,,,1.18.1.2|1.19.1.1,,K21567,,,,WP_238283388.1,0001217,UPI001EE354F7,UniRef100_UPI001EE354F7|UniRef50_Q9K7F3|UniRef90_UPI003457ADA3
MPDKNC_00098,MPDKNC_00098,CDS,ferredoxin,,,,,,,,,WP_056541716.1,0001217,UPI0006F94B83,UniRef100_UPI0006F94B83|UniRef50_A0A919WT50|UniRef90_UPI003458923E
MPDKNC_00099,MPDKNC_00099,CDS,cell wall metabolism sensor histidine kinase WalK,,,,,,,,,,0001217,,UniRef50_UPI0027A78FD2|UniRef90_UPI0027A78FD2
MPDKNC_00100,MPDKNC_00100,CDS,response regulator transcription factor,,,,,K14983,,,,WP_238283390.1,0001217,UPI001EE34355,UniRef100_UPI001EE34355|UniRef50_UPI001EE34355|UniRef90_UPI001EE34355
MPDKNC_00101,MPDKNC_00101,CDS,cysteine synthase A,,COG0031|E,2.5.1.47,0004124|0006535,,,,,WP_079513592.1,0001217,UPI0009A807E5,UniRef100_UPI0009A807E5|UniRef50_A0A174C3B8|UniRef90_A0A5D4TBB5
MPDKNC_00102,MPDKNC_00102,CDS,aminodeoxychorismate synthase%2C component I,,COG0147|EH,2.6.1.123|2.6.1.85,,K25578,,,,WP_238283391.1,0001217,UPI001EE27551,UniRef100_UPI001EE27551|UniRef50_A0A090ZC86|UniRef90_A0A0M0FYT9
MPDKNC_00103,MPDKNC_00103,CDS,aminodeoxychorismate/anthranilate synthase component II,,COG0512|EH,,,,,,,,0001217,,UniRef50_P00903|UniRef90_A0A0M0FZ80
MPDKNC_00104,MPDKNC_00104,CDS,aminodeoxychorismate lyase,,COG0115|EH,4.1.3.38,0003824,,,,,WP_238283392.1,0001217,UPI001EE1AA2A,UniRef100_UPI001EE1AA2A|UniRef50_A0A940DDJ0|UniRef90_A0A5D4R9L0
MPDKNC_00105,MPDKNC_00105,CDS,dihydropteroate synthase,,COG0294|H,2.5.1.15,0004156|0009396,K00796,,,,WP_056541735.1,0001217,UPI0006F3781B,UniRef100_UPI0006F3781B|UniRef50_A0A2V5JV03|UniRef90_A0A5D4RBU0
MPDKNC_00106,MPDKNC_00106,CDS,dihydroneopterin aldolase,,COG1539|H,4.1.2.25,0004150|0006760,,,,,WP_056541738.1,0001217,UPI0006F4847F,UniRef100_A0A5D4R758|UniRef50_P28823|UniRef90_A0A5D4R758
MPDKNC_00107,MPDKNC_00107,CDS,2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase,,COG0801|H,2.7.6.3,0003848|0009396,,,,,WP_056541741.1,0001217,UPI0006FB3C52,UniRef100_A0A5D4RBN8|UniRef50_P29252|UniRef90_A0A5D4RBN8
MPDKNC_00108,MPDKNC_00108,CDS,XRE family transcriptional regulator,,COG1396|K,,,,,,,WP_079513606.1,0001217,UPI0009A60406,UniRef100_UPI0009A60406|UniRef50_Q81J72|UniRef90_A0A0M0FZ75
MPDKNC_00109,MPDKNC_00109,CDS,lysine--tRNA ligase,,COG1190|J,6.1.1.6,0004824|0005524|0005737|0006430,K04567,,,,WP_048007746.1,0001217,UPI00064ED6A6,UniRef100_A0A0J5UN64|UniRef50_P37477|UniRef90_A0A0P6VUB4
MPDKNC_00110,MPDKNC_00110,CDS,hypothetical protein,,,,,,,,,,,,
MPDKNC_00111,MPDKNC_00111,rRNA,16S ribosomal RNA,,,,0005840|0003735,K01977,,,RF00177,,0001000,,
MPDKNC_00112,MPDKNC_00112,rRNA,23S ribosomal RNA,,,,0005840|0003735,K01980,,,RF02541,,0001001,,
MPDKNC_00113,MPDKNC_00113,rRNA,5S ribosomal RNA,,,,0005840|0003735,K01985,,,RF00001,,0000652,,
MPDKNC_00114,MPDKNC_00114,tRNA,tRNA-Val(tac),,,,,,,,,,0000273,,
MPDKNC_00115,MPDKNC_00115,tRNA,tRNA-Thr(tgt),,,,,,,,,,0000270,,
MPDKNC_00116,MPDKNC_00116,tRNA,tRNA-Lys(ttt),,,,,,,,,,0000265,,
MPDKNC_00117,MPDKNC_00117,tRNA,tRNA-Leu(tag),,,,,,,,,,0000264,,
MPDKNC_00118,MPDKNC_00118,tRNA,tRNA-Gly(gcc),,,,,,,,,,0000260,,
MPDKNC_00119,MPDKNC_00119,tRNA,tRNA-Leu(taa),,,,,,,,,,0000264,,
MPDKNC_00120,MPDKNC_00120,tRNA,tRNA-Arg(acg),,,,,,,,,,0001036,,
MPDKNC_00121,MPDKNC_00121,tRNA,tRNA-Pro(tgg),,,,,,,,,,0000268,,
MPDKNC_00122,MPDKNC_00122,tRNA,tRNA-Ala(tgc),,,,,,,,,,0000254,,
MPDKNC_00123,MPDKNC_00123,rRNA,16S ribosomal RNA,,,,0005840|0003735,K01977,,,RF00177,,0001000,,
MPDKNC_00124,MPDKNC_00124,rRNA,23S ribosomal RNA,,,,0005840|0003735,K01980,,,RF02541,,0001001,,
MPDKNC_00125,MPDKNC_00125,rRNA,5S ribosomal RNA,,,,0005840|0003735,K01985,,,RF00001,,0000652,,
MPDKNC_00126,MPDKNC_00126,CDS,Transcriptional regulator CtsR,,COG4463|K,,,K03708,,,,WP_056541759.1,0001217,UPI0006FB49E0,UniRef100_A0A5D4R7Y3|UniRef50_A0A2G5XLL3|UniRef90_A0A6F8TM61
