# Annotated with Bakta
# Software: v1.12.0
# Database: v6.0, full
# DOI: 10.1099/mgen.0.000685
# URL: github.com/oschwengers/bakta
#Sequence Id	Type	Start	Stop	Strand	Locus Tag	Score	Evalue	Query Cov	Subject Cov	Id	Accession
contig_1	cds	33744	33962	+	MPDKNC_00036	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0GMG8
contig_1	cds	34021	34284	+	MPDKNC_00037	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5USB2
contig_1	cds	34326	34802	-	MPDKNC_00038	322.0	2.0e-111	1.0	0.981	0.975	UniRef:UniRef90_A0A0M0GLH5
contig_1	cds	35072	35782	+	MPDKNC_00039	473.0	2.4e-168	1.0	0.861	0.953	UniRef:UniRef90_A0A0M0GL92
contig_1	rRNA	36084	37634	+	MPDKNC_00040	1645.1	8.6e-50	-	-	-	RFAM:RF00177
contig_1	tRNA	37716	37792	+	MPDKNC_00041	87.9	-	-	-	-	-
contig_1	tRNA	37813	37888	+	MPDKNC_00042	81.8	-	-	-	-	-
contig_1	rRNA	38001	40934	+	MPDKNC_00043	3009.6	2.2e-06	-	-	-	RFAM:RF02541
contig_1	rRNA	41048	41164	+	MPDKNC_00044	96.9	3.3e-16	-	-	-	RFAM:RF00001
contig_1	cds	41274	41525	+	MPDKNC_00045	138.0	3.2e-41	1.024	1.0	0.812	UniRef:UniRef90_A0A0M0FZB8
contig_1	cds	42276	42476	+	MPDKNC_00046	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE1D869
contig_1	cds	42592	44022	+	MPDKNC_00047	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE33BE6
contig_1	cds	44019	44660	+	MPDKNC_00048	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4RBY7
contig_1	cds	44726	45055	+	MPDKNC_00049	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5VQE7
contig_1	cds	45071	45511	+	MPDKNC_00050	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4RBS9
contig_1	cds	45533	46510	+	MPDKNC_00051	624.0	1.1e-225	0.997	0.991	0.991	UniRef:UniRef90_A0A5D4R7E3
contig_1	cds	46518	47345	+	MPDKNC_00052	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FZQ8
contig_1	cds	47459	47728	+	MPDKNC_00053	81.6	3.1e-18	1.090	0.851	0.505	UniRef:UniRef90_UPI0035CCECA7
contig_1	cds	47800	48573	+	MPDKNC_00054	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0006FCCA8E
contig_1	cds	48551	49423	+	MPDKNC_00055	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE171EE
contig_1	cds	49475	49756	-	MPDKNC_00056	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5USD0
contig_1	cds	50360	52315	+	MPDKNC_00057	1305.0	0.0	0.998	1.0	0.997	UniRef:UniRef90_A0A0M0FYT6
contig_1	cds	52678	53445	+	MPDKNC_00058	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE1708C
contig_1	cds	53696	54946	+	MPDKNC_00059	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE1F4D9
contig_1	cds	55067	55627	+	MPDKNC_00060	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FYR6
contig_1	cds	55620	56501	+	MPDKNC_00061	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE2F134
contig_1	cds	56656	57534	+	MPDKNC_00062	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE2C503
contig_1	cds	57793	58062	+	MPDKNC_00063	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5UNC3
contig_1	cds	58179	58361	+	MPDKNC_00064	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FZP7
contig_1	cds	58531	59385	+	MPDKNC_00065	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4RCS1
contig_1	cds	59458	60294	+	MPDKNC_00066	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FYR7
contig_1	cds	60315	60689	+	MPDKNC_00067	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE36E41
contig_1	cds	60884	61177	+	MPDKNC_00068	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5RZK9
contig_1	cds	61494	62867	+	MPDKNC_00069	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE2EA48
contig_1	cds	62881	63840	+	MPDKNC_00070	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FZP1
contig_1	cds	64051	64704	+	MPDKNC_00071	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE2E74F
contig_1	cds	64788	65345	+	MPDKNC_00072	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4R7C7
contig_1	cds	65413	65640	+	MPDKNC_00073	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE2CAE0
contig_1	cds	65731	69264	+	MPDKNC_00074	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE1A2A6
contig_1	cds	69568	70104	+	MPDKNC_00075	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4RCR2
contig_1	cds	70316	71890	+	MPDKNC_00076	912.0	0.0	1.0	0.974	0.943	UniRef:UniRef90_A0A0M0FZC3
contig_1	cds	71900	73363	+	MPDKNC_00077	952.0	0.0	1.0	0.996	0.994	UniRef:UniRef90_A0A0M0FZR8
contig_1	cds	73396	73677	+	MPDKNC_00078	159.0	4.4e-49	0.957	1.0	1.0	UniRef:UniRef90_A0A0J5UPI5
contig_1	cds	73756	74058	+	MPDKNC_00079	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5XNP5
contig_1	cds	74055	74705	+	MPDKNC_00080	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE297CA
contig_1	cds	74733	75110	+	MPDKNC_00081	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FYQ8
contig_1	cds	75200	75622	+	MPDKNC_00082	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE26A7F
contig_1	tRNA	75755	75826	-	MPDKNC_00083	72.5	-	-	-	-	-
contig_1	tRNA	75836	75912	-	MPDKNC_00084	72.8	-	-	-	-	-
contig_1	cds	76187	78679	+	MPDKNC_00085	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI00295E73F9
contig_1	cds	78789	79529	+	MPDKNC_00086	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4RB52
contig_1	cds	79492	80484	+	MPDKNC_00087	607.0	1.0e-218	0.994	1.0	0.963	UniRef:UniRef90_A0A0M0FYX9
contig_1	cds	80552	81952	+	MPDKNC_00088	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE2C220
contig_1	cds	81956	82504	+	MPDKNC_00089	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5S628
contig_1	cds	82608	84578	+	MPDKNC_00090	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4R7B9
contig_1	cds	84938	85708	+	MPDKNC_00091	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FZ84
contig_1	cds	85724	86602	+	MPDKNC_00092	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE3609F
contig_1	cds	86628	87515	+	MPDKNC_00093	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE1B312
contig_1	cds	87643	88098	+	MPDKNC_00094	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0006FFE3A3
contig_1	cds	88112	89026	+	MPDKNC_00095	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE17A71
contig_1	cds	89023	89934	+	MPDKNC_00096	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE25EE9
contig_1	cds	89937	90923	+	MPDKNC_00097	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE354F7
contig_1	cds	90944	91168	+	MPDKNC_00098	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0006F94B83
contig_1	cds	91172	92422	-	MPDKNC_00099	771.0	1.5e-280	1.0	1.0	0.952	UniRef:UniRef90_UPI0027A78FD2
contig_1	cds	92424	93098	-	MPDKNC_00100	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE34355
contig_1	cds	93318	94247	+	MPDKNC_00101	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0009A807E5
contig_1	cds	94379	95779	+	MPDKNC_00102	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE27551
contig_1	cds	95734	96363	+	MPDKNC_00103	392.0	4.7e-138	0.933	1.0	1.0	UniRef:UniRef90_A0A0M0FZ80
contig_1	cds	96377	97222	+	MPDKNC_00104	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE1AA2A
contig_1	cds	97237	98070	+	MPDKNC_00105	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0006F3781B
contig_1	cds	98063	98422	+	MPDKNC_00106	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4R758
contig_1	cds	98424	98948	+	MPDKNC_00107	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4RBN8
contig_1	cds	98900	99115	+	MPDKNC_00108	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0009A60406
contig_1	cds	99323	100807	+	MPDKNC_00109	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5UN64
contig_1	cds	100615	101121	-	MPDKNC_00110	-	-	-	-	-	-
contig_1	rRNA	101204	102754	+	MPDKNC_00111	1645.1	8.6e-50	-	-	-	RFAM:RF00177
contig_1	rRNA	102913	105846	+	MPDKNC_00112	3009.6	2.2e-06	-	-	-	RFAM:RF02541
contig_1	rRNA	105960	106076	+	MPDKNC_00113	96.9	3.3e-16	-	-	-	RFAM:RF00001
contig_1	tRNA	106086	106161	+	MPDKNC_00114	86.4	-	-	-	-	-
contig_1	tRNA	106268	106343	+	MPDKNC_00115	83.2	-	-	-	-	-
contig_1	tRNA	106403	106478	+	MPDKNC_00116	93.3	-	-	-	-	-
contig_1	tRNA	106489	106573	+	MPDKNC_00117	78.1	-	-	-	-	-
contig_1	tRNA	106577	106651	+	MPDKNC_00118	93.0	-	-	-	-	-
contig_1	tRNA	106663	106751	+	MPDKNC_00119	77.6	-	-	-	-	-
contig_1	tRNA	106767	106843	+	MPDKNC_00120	79.3	-	-	-	-	-
contig_1	tRNA	106848	106924	+	MPDKNC_00121	86.8	-	-	-	-	-
contig_1	tRNA	106933	107008	+	MPDKNC_00122	81.8	-	-	-	-	-
contig_1	rRNA	107170	108720	+	MPDKNC_00123	1645.1	8.6e-50	-	-	-	RFAM:RF00177
contig_1	rRNA	108879	111812	+	MPDKNC_00124	3009.6	2.2e-06	-	-	-	RFAM:RF02541
contig_1	rRNA	111926	112042	+	MPDKNC_00125	96.9	3.3e-16	-	-	-	RFAM:RF00001
contig_1	cds	113185	113646	+	MPDKNC_00126	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4R7Y3
contig_1	cds	113667	114209	+	MPDKNC_00127	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FZI7
contig_1	cds	114206	115291	+	MPDKNC_00128	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4RA72
contig_1	cds	115288	117732	+	MPDKNC_00129	1360.0	0.0	0.988	0.993	0.883	BlastRules:WP_003235011
contig_1	cds	117857	119227	+	MPDKNC_00130	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5UWF3
contig_1	cds	119232	120305	+	MPDKNC_00131	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5S0K7
contig_1	cds	120492	121580	+	MPDKNC_00132	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE26294
contig_1	cds	121648	122346	+	MPDKNC_00133	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI0006F277BE
contig_1	cds	122339	122815	+	MPDKNC_00134	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE16CFF
contig_1	cds	122882	124339	+	MPDKNC_00135	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE34D45
contig_1	ncRNA-region	124384	124600	+	-	95.8	7.6e-13	-	-	-	RFAM:RF00230
contig_1	cds	124650	125300	+	MPDKNC_00136	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FZ46
contig_1	cds	125297	126697	+	MPDKNC_00137	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE2C6BB
contig_1	cds	126700	127119	+	MPDKNC_00138	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001C48B843
contig_1	cds	127116	127865	+	MPDKNC_00139	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE1E67D
contig_1	cds	127868	128377	+	MPDKNC_00140	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5SZI4
contig_1	cds	128446	129099	+	MPDKNC_00141	409.0	6.0e-144	1.0	0.912	0.995	UniRef:UniRef90_A0A0J5S0L6
contig_1	cds	129376	129555	+	MPDKNC_00142	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FZH3
contig_1	cds	129727	130260	+	MPDKNC_00143	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5UP03
contig_1	cds	130435	130860	+	MPDKNC_00144	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5T4S1
contig_1	cds	130983	131681	+	MPDKNC_00145	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5UWE4
contig_1	ncRNA-region	131734	131876	+	-	72.4	5.4e-08	-	-	-	RFAM:RF00557
contig_1	cds	131919	132419	+	MPDKNC_00146	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4RCN8
contig_1	cds	132478	132837	+	MPDKNC_00147	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5XP98
contig_1	cds	132966	133574	+	MPDKNC_00148	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE39EC8
contig_1	cds	133806	137357	+	MPDKNC_00149	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FYZ2
contig_1	cds	137409	141008	+	MPDKNC_00150	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE1FD50
contig_1	cds	141151	141399	+	MPDKNC_00151	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE386B7
contig_1	cds	141499	141918	+	MPDKNC_00152	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5UWE1
contig_1	cds	141961	142431	+	MPDKNC_00153	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5UQ42
contig_1	cds	142477	144555	+	MPDKNC_00154	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FYY7
contig_1	cds	144682	145872	+	MPDKNC_00155	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FYZ1
contig_1	cds	146277	146585	+	MPDKNC_00156	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5S720
contig_1	cds	146620	147249	+	MPDKNC_00157	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5S6P4
contig_1	cds	147280	147903	+	MPDKNC_00158	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FZW8
contig_1	cds	147903	148187	+	MPDKNC_00159	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5XP90
contig_1	cds	148219	149049	+	MPDKNC_00160	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FYY5
contig_1	cds	149110	149388	+	MPDKNC_00161	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5T4T3
contig_1	cds	149410	149751	+	MPDKNC_00162	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5SZK0
contig_1	cds	149755	150411	+	MPDKNC_00163	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5UQ34
contig_1	cds	150414	150848	+	MPDKNC_00164	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FYX2
contig_1	cds	150838	151038	+	MPDKNC_00165	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5S1T3
contig_1	cds	151060	151323	+	MPDKNC_00166	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FZ16
contig_1	cds	151365	151733	+	MPDKNC_00167	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FZF8
contig_1	cds	151771	152100	+	MPDKNC_00168	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5VYH4
contig_1	cds	152118	152657	+	MPDKNC_00169	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5SYN8
contig_1	cds	152887	153285	+	MPDKNC_00170	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5UNX0
contig_1	cds	153316	153855	+	MPDKNC_00171	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5S735
contig_1	cds	153889	154251	+	MPDKNC_00172	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5SZL5
contig_1	cds	154273	154773	+	MPDKNC_00173	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5UQ22
contig_1	cds	154787	154969	+	MPDKNC_00174	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5V080
contig_1	cds	155002	155442	+	MPDKNC_00175	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5T5J0
contig_1	cds	155442	156734	+	MPDKNC_00176	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5T4U3
contig_1	cds	156796	157446	+	MPDKNC_00177	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4RA48
contig_1	cds	157446	158192	+	MPDKNC_00178	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FZU4
contig_1	cds	158199	158531	+	MPDKNC_00179	221.0	2.3e-73	1.0	1.0	0.991	UniRef:UniRef90_A0A0M0FZ13
contig_1	cds	158518	158736	+	MPDKNC_00180	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5V085
contig_1	cds	158775	158888	+	MPDKNC_00181	76.3	1.7e-21	1.0	1.0	0.973	BlastRules:WP_000868344
contig_1	cds	158912	159277	+	MPDKNC_00182	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5S745
contig_1	cds	159303	159692	+	MPDKNC_00183	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5SZM5
contig_1	cds	159848	160792	+	MPDKNC_00184	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5UQ11
contig_1	cds	160838	161200	+	MPDKNC_00185	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5V091
contig_1	cds	161484	162320	+	MPDKNC_00186	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FYV8
contig_1	cds	162296	163159	+	MPDKNC_00187	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE35BD1
contig_1	cds	163156	163953	+	MPDKNC_00188	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE26488
contig_1	cds	163969	164778	+	MPDKNC_00189	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4RB39
contig_1	ncRNA-region	164850	164905	+	-	59.2	1.2e-08	-	-	-	RFAM:RF00555
contig_1	cds	164937	165374	+	MPDKNC_00190	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5VYJ7
contig_1	cds	165397	165789	+	MPDKNC_00191	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5V096
contig_1	cds	166597	167157	+	MPDKNC_00192	377.0	1.2e-132	1.0	1.0	0.989	UniRef:UniRef90_A0A161TCB3
contig_1	cds	167664	168110	+	MPDKNC_00193	308.0	1.4e-106	1.0	0.993	0.980	UniRef:UniRef90_A0A0M0FZ19
contig_1	cds	168176	168889	+	MPDKNC_00194	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4RCF0
contig_1	cds	168889	169419	+	MPDKNC_00195	-	-	-	-	-	-
contig_1	cds	169491	170540	+	MPDKNC_00196	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4R858
contig_1	cds	170591	171199	-	MPDKNC_00197	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE1B2C0
contig_1	cds	171351	171971	+	MPDKNC_00198	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FZS8
contig_1	cds	172003	172752	-	MPDKNC_00199	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0FYU1
contig_1	cds	172902	173135	+	MPDKNC_00200	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4RB53
contig_1	rRNA	173542	175092	+	MPDKNC_00201	1645.1	8.6e-50	-	-	-	RFAM:RF00177
contig_1	rRNA	175287	178220	+	MPDKNC_00202	3009.6	2.2e-06	-	-	-	RFAM:RF02541
contig_1	rRNA	178382	178498	+	MPDKNC_00203	96.9	3.3e-16	-	-	-	RFAM:RF00001
contig_1	tRNA	178506	178580	+	MPDKNC_00204	81.5	-	-	-	-	-
contig_1	tRNA	178583	178655	+	MPDKNC_00205	63.3	-	-	-	-	-
contig_1	tRNA	178684	178758	+	MPDKNC_00206	79.1	-	-	-	-	-
contig_1	tRNA	178770	178845	+	MPDKNC_00207	86.4	-	-	-	-	-
contig_1	tRNA	179048	179123	+	MPDKNC_00208	83.2	-	-	-	-	-
contig_1	tRNA	179138	179221	+	MPDKNC_00209	76.2	-	-	-	-	-
contig_1	tRNA	179284	179358	+	MPDKNC_00210	74.3	-	-	-	-	-
contig_1	tRNA	179364	179436	+	MPDKNC_00211	86.4	-	-	-	-	-
contig_1	cds	179617	180519	+	MPDKNC_00212	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4RF77
contig_1	cds	180576	180737	-	MPDKNC_00213	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A5D4RGQ7
contig_1	cds	181097	181660	+	MPDKNC_00214	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5VF02
contig_1	cds	181677	182309	+	MPDKNC_00215	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_UPI001EE2C843
contig_1	cds	182520	183347	+	MPDKNC_00216	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0J5V6I0
contig_1	cds	183348	184598	+	MPDKNC_00217	-	0.0	1.0	1.0	1.0	UniRef:UniRef100_A0A0M0GL27
contig_1	cds	184613	185965	+	MPDKNC_00218	880.0	0.0	0.998	1.0	1.0	UniRef:UniRef90_UPI001EE1952E
