#Annotated with Bakta v1.12.0, https://github.com/oschwengers/bakta
#Database v6.0, https://doi.org/10.5281/zenodo.4247252
#Sequence Id	Start	Stop	Strand	Locus Tag	Mol Weight [kDa]	Iso El. Point	Pfam hits	Dbxrefs
contig_1	516362	516568	+	MPDKNC_00550	7.8	10.1		
contig_1	540701	540859	-	MPDKNC_00569	6.0	4.7		RefSeq:WP_156183299.1, SO:0001217, UniParc:UPI000A4FC492, UniRef:UniRef100_UPI000A4FC492, UniRef:UniRef50_UPI000A7DBCA8, UniRef:UniRef90_UPI000A7DBCA8
contig_1	575494	575634	+	MPDKNC_00599	5.5	8.8		
contig_1	575640	575927	-	MPDKNC_00600	10.6	6.0		RefSeq:WP_056532899.1, SO:0001217, UniParc:UPI0006FA1139, UniRef:UniRef100_UPI0006FA1139, UniRef:UniRef50_A0A0P6W351, UniRef:UniRef90_A0A0M0G5R0
contig_1	586216	586446	+	MPDKNC_00609	8.7	9.1		
contig_1	593685	594185	-	MPDKNC_00617	19.3	5.5		RefSeq:WP_056532940.1, SO:0001217, UniParc:UPI0006F41D1C, UniRef:UniRef100_A0A5D4R8M0, UniRef:UniRef50_A0A0M0G5L2, UniRef:UniRef90_A0A0M0G5L2
contig_1	598582	598974	-	MPDKNC_00623	14.3	9.8		RefSeq:WP_148986227.1, SO:0001217, UniParc:UPI0011E95E59, UniRef:UniRef100_A0A5D4R979, UniRef:UniRef50_A0A5D4R979, UniRef:UniRef90_A0A5D4R979
contig_1	601596	601709	+	MPDKNC_00626	4.4	10.2		SO:0001217, UniRef:UniRef50_U5L7J0
contig_1	623832	624008	+	MPDKNC_00651	6.6	9.6		RefSeq:WP_159645440.1, SO:0001217, UniParc:UPI0012F44E37, UniRef:UniRef100_UPI0012F44E37, UniRef:UniRef50_A0A0M0G5T9, UniRef:UniRef50_UPI000A8559CB, UniRef:UniRef90_A0A0M0G5T9, UniRef:UniRef90_UPI003459BCDC
contig_1	643791	644366	+	MPDKNC_00668	20.4	5.6		
contig_1	648394	648552	+	MPDKNC_00672	6.1	4.1		RefSeq:WP_156450568.1, SO:0001217, UniParc:UPI000AD9E024, UniRef:UniRef100_UPI000AD9E024, UniRef:UniRef50_UPI0028536357, UniRef:UniRef90_UPI0028536357
contig_1	669154	670647	+	MPDKNC_00688	56.3	4.9		RefSeq:WP_238283582.1, SO:0001217, UniParc:UPI001EE2BB8E, UniRef:UniRef100_UPI001EE2BB8E, UniRef:UniRef50_A0A0M0G6E3, UniRef:UniRef90_A0A0M0G6E3
contig_1	672245	673459	+	MPDKNC_00690	45.5	7.7		RefSeq:WP_238283583.1, SO:0001217, UniParc:UPI001EE2C589, UniRef:UniRef100_UPI001EE2C589, UniRef:UniRef50_A0A0M0G5G4, UniRef:UniRef90_A0A0M0G5G4
contig_1	675077	676027	+	MPDKNC_00693	36.1	5.0		RefSeq:WP_238283585.1, SO:0001217, UniParc:UPI001EE25486, UniRef:UniRef100_UPI001EE25486, UniRef:UniRef50_A0A0M0G6E0, UniRef:UniRef90_A0A0M0G6E0
contig_1	680972	681136	+	MPDKNC_00698	6.5	9.6		RefSeq:WP_156450570.1, SO:0001217, UniParc:UPI000A40FFA1, UniRef:UniRef100_UPI000A40FFA1, UniRef:UniRef50_UPI00204010CF, UniRef:UniRef90_UPI00204010CF
contig_1	689313	689531	-	MPDKNC_00710	8.9	9.3		RefSeq:WP_048006887.1, SO:0001217, UniParc:UPI00064EA585, UniRef:UniRef100_A0A0J5WGF7, UniRef:UniRef50_A0A0M0G5E8, UniRef:UniRef90_A0A0M0G5E8
contig_1	693436	693648	+	MPDKNC_00717	7.8	9.4		
contig_1	695274	695552	+	MPDKNC_00720	10.8	9.7		RefSeq:WP_048006896.1, SO:0001217, UniParc:UPI00064E30B5, UniRef:UniRef100_UPI00064E30B5, UniRef:UniRef50_A0A0M0G6M5, UniRef:UniRef90_A0A0M0G6M5
contig_1	696089	696283	+	MPDKNC_00722	7.2	10.3		RefSeq:WP_148797031.1, SO:0001217, UniParc:UPI0011E708F8, UniRef:UniRef100_UPI0011E708F8, UniRef:UniRef50_A0A0M0G5E2, UniRef:UniRef90_A0A5D4RTJ3
contig_1	710385	710531	+	MPDKNC_00740	5.1	8.0		
contig_1	716664	717080	+	MPDKNC_00749	15.6	4.8		RefSeq:WP_238283602.1, SO:0001217, UniParc:UPI001EE3774F, UniRef:UniRef100_UPI001EE3774F, UniRef:UniRef50_A0A0M0G6K8, UniRef:UniRef90_A0A0M0G6K8
contig_1	718395	718586	+	MPDKNC_00752	7.3	9.0		RefSeq:WP_053428656.1, SO:0001217, UniParc:UPI0006A94B99, UniRef:UniRef100_A0A0M0G5C3, UniRef:UniRef50_A0A0M0G5C3, UniRef:UniRef90_A0A0M0G5C3
contig_1	721195	721500	+	MPDKNC_00757	11.2	5.7		RefSeq:WP_238283606.1, SO:0001217, UniParc:UPI001EE2423F, UniRef:UniRef100_UPI001EE2423F, UniRef:UniRef50_A0A0M0G5B0, UniRef:UniRef90_A0A165L6Q3
contig_1	721501	721833	+	MPDKNC_00758	12.1	9.4		RefSeq:WP_238283607.1, SO:0001217, UniParc:UPI001EE2A79D, UniRef:UniRef100_UPI001EE2A79D, UniRef:UniRef50_A0A0M0G5C0, UniRef:UniRef90_A0A0M0G5C0
contig_1	721867	722064	-	MPDKNC_00759	7.0	8.7		RefSeq:WP_048016059.1, SO:0001217, UniParc:UPI00064F9844, UniRef:UniRef100_A0A0J5V180, UniRef:UniRef50_A0A0J5V180, UniRef:UniRef90_A0A0J5V180
contig_1	728362	728649	+	MPDKNC_00766	10.5	7.5		RefSeq:WP_197470330.1, SO:0001217, UniParc:UPI0018D44B1B, UniRef:UniRef100_UPI0018D44B1B, UniRef:UniRef50_A0A5D4RTZ0, UniRef:UniRef90_A0A5D4RTZ0
contig_1	732110	732268	+	MPDKNC_00770	5.7	6.1		RefSeq:WP_156489301.1, SO:0001217, UniParc:UPI000A644255, UniRef:UniRef100_UPI000A644255, UniRef:UniRef50_A0A9X8LVX7, UniRef:UniRef90_UPI000A644255
contig_1	741180	741602	-	MPDKNC_00779	15.6	10.0		
contig_1	743761	743925	+	MPDKNC_00783	6.4	9.9		RefSeq:WP_156183409.1, SO:0001217, UniParc:UPI000ABE59C8, UniRef:UniRef100_UPI000ABE59C8, UniRef:UniRef50_UPI002079993A, UniRef:UniRef90_UPI000ABE59C8
contig_1	743978	744271	+	MPDKNC_00784	10.7	7.8		SO:0001217, UniRef:UniRef50_A0A5D4RTV6, UniRef:UniRef90_UPI00064F3ECF
contig_1	748862	749074	+	MPDKNC_00789	8.0	5.1		RefSeq:WP_142126648.1, SO:0001217, UniParc:UPI00114E7E00, UniRef:UniRef100_UPI00114E7E00, UniRef:UniRef50_A0A165L6B7, UniRef:UniRef90_A0A5D4RY52
contig_1	751559	751708	+	MPDKNC_00794	5.8	9.7		SO:0001217, UniRef:UniRef50_UPI0025C9A7A9, UniRef:UniRef90_UPI0025C9A7A9
contig_1	754531	755022	+	MPDKNC_00798	19.0	7.8	PF06713.17|bPH_4	PFAM:PF06713.17, RefSeq:WP_053072198.1, SO:0001217, UniParc:UPI00069CF29B, UniRef:UniRef100_A0A165L688, UniRef:UniRef50_A0A165L688, UniRef:UniRef90_A0A165L688
contig_1	764433	764624	+	MPDKNC_00813	7.5	4.9		RefSeq:WP_238283638.1, SO:0001217, UniParc:UPI001EE1B9D9, UniRef:UniRef100_UPI001EE1B9D9, UniRef:UniRef50_UPI001EE1B9D9, UniRef:UniRef90_UPI001EE1B9D9
contig_1	769348	769506	+	MPDKNC_00821	6.2	8.0		RefSeq:WP_156183405.1, SO:0001217, UniParc:UPI000B0964AD, UniRef:UniRef100_UPI000B0964AD, UniRef:UniRef50_UPI00295F383D, UniRef:UniRef90_UPI00295F383D
contig_1	772451	772918	+	MPDKNC_00825	17.7	8.8		SO:0001217, UniRef:UniRef50_A0A5D4RV39, UniRef:UniRef90_A0A5D4RV39
contig_1	773720	773938	+	MPDKNC_00827	8.4	10.2		RefSeq:WP_079514892.1, SO:0001217, UniParc:UPI0009A5BD9C, UniRef:UniRef100_A0A5D4RYY7, UniRef:UniRef50_A0A5D4RYY7, UniRef:UniRef90_A0A5D4RYY7
contig_1	777505	777666	-	MPDKNC_00833	5.9	11.4		RefSeq:WP_179125716.1, SO:0001217, UniParc:UPI0015C4BBB2, UniRef:UniRef100_UPI0015C4BBB2, UniRef:UniRef50_UPI0025CA66BF, UniRef:UniRef90_UPI0025CA66BF
contig_1	787660	787878	+	MPDKNC_00846	8.0	4.2		RefSeq:WP_238283651.1, SO:0001217, UniParc:UPI001EE39418, UniRef:UniRef100_UPI001EE39418, UniRef:UniRef50_A0A0J5SCZ8, UniRef:UniRef90_UPI00345B2914
contig_1	788519	788680	+	MPDKNC_00849	5.7	4.5		RefSeq:WP_238283652.1, SO:0001217, UniParc:UPI001EE38D4D, UniRef:UniRef100_UPI001EE38D4D, UniRef:UniRef50_UPI001EE38D4D, UniRef:UniRef90_UPI001EE38D4D
contig_1	792178	792435	-	MPDKNC_00854	9.3	7.9		RefSeq:WP_238283657.1, SO:0001217, UniParc:UPI001EE20F8F, UniRef:UniRef100_UPI001EE20F8F, UniRef:UniRef50_A0A0J5VEF4, UniRef:UniRef90_UPI001EE20F8F
contig_1	794265	794483	-	MPDKNC_00857	8.2	9.0		RefSeq:WP_238283659.1, SO:0001217, UniParc:UPI001EE30C5F, UniRef:UniRef100_UPI001EE30C5F, UniRef:UniRef50_UPI001EE30C5F, UniRef:UniRef90_UPI001EE30C5F
contig_1	794438	794596	-	MPDKNC_00858	6.0	11.0		
contig_1	797446	797595	+	MPDKNC_00862	5.6	6.0		
contig_1	802850	803176	-	MPDKNC_00871	12.6	8.7		RefSeq:WP_238283669.1, SO:0001217, UniParc:UPI001EE2C49E, UniRef:UniRef100_UPI001EE2C49E, UniRef:UniRef50_A0A0M0G6B2, UniRef:UniRef90_UPI0025AF2B58
contig_1	819064	819324	+	MPDKNC_00887	10.4	5.8		
contig_1	820568	820702	-	MPDKNC_00889	5.0	5.1		
contig_1	830507	831058	+	MPDKNC_00900	21.9	6.2		RefSeq:WP_238283689.1, SO:0001217, UniParc:UPI001EE250B7, UniRef:UniRef100_UPI001EE250B7, UniRef:UniRef50_U5SG43, UniRef:UniRef90_A0A161TB65
contig_1	834448	834753	-	MPDKNC_00904	10.7	10.5		
contig_1	834707	835513	-	MPDKNC_00905	31.2	6.0		RefSeq:WP_238283693.1, SO:0001217, UniParc:UPI001EE1CF56, UniRef:UniRef100_UPI001EE1CF56, UniRef:UniRef50_A0A0M0L933, UniRef:UniRef90_A0A165L4Q8
contig_1	838721	838894	+	MPDKNC_00911	6.4	7.9		SO:0001217, UniRef:UniRef50_UPI001EE1E674, UniRef:UniRef90_UPI001EE1E674
contig_1	839618	840067	-	MPDKNC_00913	17.0	4.6		RefSeq:WP_048013808.1, SO:0001217, UniParc:UPI00064E7000, UniRef:UniRef100_UPI00064E7000, UniRef:UniRef50_UPI00064E7000, UniRef:UniRef90_UPI00064E7000
contig_1	840192	840344	+	MPDKNC_00914	6.0	4.9		
contig_1	840341	840550	+	MPDKNC_00915	8.5	4.4		RefSeq:WP_238283700.1, SO:0001217, UniParc:UPI001EE28F1D, UniRef:UniRef100_UPI001EE28F1D, UniRef:UniRef50_UPI00064E397A, UniRef:UniRef90_UPI00064E397A
contig_1	844613	845440	+	MPDKNC_00919	31.3	5.2		RefSeq:WP_148984981.1, SO:0001217, UniParc:UPI0011E93C70, UniRef:UniRef100_A0A5D4RUA6, UniRef:UniRef50_A0A163LTX3, UniRef:UniRef90_A0A163LTX3
contig_1	850620	850859	+	MPDKNC_00924	9.1	8.9		RefSeq:WP_238283705.1, SO:0001217, UniParc:UPI001EE1AB8D, UniRef:UniRef100_UPI001EE1AB8D, UniRef:UniRef50_UPI001EE1AB8D, UniRef:UniRef90_UPI001EE1AB8D
contig_1	851917	852006	+	MPDKNC_00926	3.7	9.2		
contig_1	855309	855707	+	MPDKNC_00931	15.7	4.6		RefSeq:WP_238283710.1, SO:0001217, UniParc:UPI001EE3853B, UniRef:UniRef100_UPI001EE3853B, UniRef:UniRef50_I8UKT0, UniRef:UniRef90_A0A5D4RU73
contig_1	855776	856231	+	MPDKNC_00932	18.2	4.5		RefSeq:WP_238283711.1, SO:0001217, UniParc:UPI001EE170B1, UniRef:UniRef100_UPI001EE170B1, UniRef:UniRef50_A0A5D4RZ67, UniRef:UniRef90_A0A5D4RZ67
contig_1	859119	859463	+	MPDKNC_00937	13.3	5.6		RefSeq:WP_238283715.1, SO:0001217, UniParc:UPI001EE21FAD, UniRef:UniRef100_UPI001EE21FAD, UniRef:UniRef50_UPI001EE21FAD, UniRef:UniRef90_UPI001EE21FAD
contig_1	859520	859693	-	MPDKNC_00938	6.6	10.0		RefSeq:WP_238283716.1, SO:0001217, UniParc:UPI001EE1B07D, UniRef:UniRef100_UPI001EE1B07D, UniRef:UniRef50_UPI001EE1B07D, UniRef:UniRef90_UPI001EE1B07D
contig_1	861770	862123	-	MPDKNC_00942	12.3	8.6		RefSeq:WP_238283719.1, SO:0001217, UniParc:UPI001EE21820, UniRef:UniRef100_UPI001EE21820, UniRef:UniRef50_UPI001EE21820, UniRef:UniRef90_UPI001EE21820
contig_1	862662	863333	+	MPDKNC_00943	26.1	5.2		RefSeq:WP_238283720.1, SO:0001217, UniParc:UPI001EE21C5E, UniRef:UniRef100_UPI001EE21C5E, UniRef:UniRef50_A0A4R3L8A7, UniRef:UniRef90_UPI001EE21C5E
contig_1	885159	885665	+	MPDKNC_00963	18.7	4.3		RefSeq:WP_238283739.1, SO:0001217, UniParc:UPI001EE25882, UniRef:UniRef100_UPI001EE25882, UniRef:UniRef50_UPI00345DB47C, UniRef:UniRef90_UPI00345DB47C
contig_1	885691	885879	+	MPDKNC_00964	6.7	9.6		
contig_1	885823	886083	-	MPDKNC_00965	9.5	4.3		SO:0001217, UniRef:UniRef50_UPI001EE18ED2, UniRef:UniRef90_UPI001EE18ED2
contig_1	886080	886229	-	MPDKNC_00966	5.6	4.6		
contig_1	888993	889148	+	MPDKNC_00971	5.8	8.3		
contig_1	889641	889883	-	MPDKNC_00973	9.0	4.6		RefSeq:WP_238283745.1, SO:0001217, UniParc:UPI001EE1E633, UniRef:UniRef100_UPI001EE1E633, UniRef:UniRef50_A0A0F7FXF2, UniRef:UniRef90_A0A0M0G5V5
contig_1	890800	891150	-	MPDKNC_00975	13.1	9.1		RefSeq:WP_238283747.1, SO:0001217, UniParc:UPI001EE1D642, UniRef:UniRef100_UPI001EE1D642, UniRef:UniRef50_A0A0M0G4R2, UniRef:UniRef90_A0A0M0G4R2
contig_1	891291	892064	+	MPDKNC_00976	30.5	4.8	PF24731.1|DUF7683	PFAM:PF24731.1, RefSeq:WP_238283748.1, SO:0001217, UniParc:UPI001EE172B3, UniRef:UniRef100_UPI001EE172B3, UniRef:UniRef50_A0A165L463, UniRef:UniRef90_UPI0025B07AF6
contig_1	899019	899450	-	MPDKNC_00984	16.9	8.9		RefSeq:WP_079515022.1, SO:0001217, UniParc:UPI0009A567BF, UniRef:UniRef100_UPI0009A567BF, UniRef:UniRef50_A0A160MIC7, UniRef:UniRef90_UPI003515975D
contig_1	899599	899775	+	MPDKNC_00985	6.7	12.0		RefSeq:WP_238283754.1, SO:0001217, UniParc:UPI001EE1A314, UniRef:UniRef100_UPI001EE1A314, UniRef:UniRef50_UPI00285321E2, UniRef:UniRef90_UPI00285321E2
contig_1	899835	900170	+	MPDKNC_00986	12.4	8.5		RefSeq:WP_238283755.1, SO:0001217, UniParc:UPI001EE2530B, UniRef:UniRef100_UPI001EE2530B, UniRef:UniRef50_A0A0M0G4U4, UniRef:UniRef90_A0A0M0G4U4
contig_1	900292	900627	+	MPDKNC_00987	12.7	9.3		SO:0001217, UniRef:UniRef50_A0A0M0G5J0, UniRef:UniRef90_A0A0M0G5J0
contig_1	903058	903300	+	MPDKNC_00992	9.2	10.0		RefSeq:WP_238283759.1, SO:0001217, UniParc:UPI001EE16B13, UniRef:UniRef100_UPI001EE16B13, UniRef:UniRef50_A0A0M0G4P1, UniRef:UniRef90_A0A5D4RUC0
contig_1	904044	904337	-	MPDKNC_00994	10.2	6.7		RefSeq:WP_056533734.1, SO:0001217, UniParc:UPI0006F36674, UniRef:UniRef100_A0A5D4RUL8, UniRef:UniRef50_A0A161TIC3, UniRef:UniRef90_A0A5D4RUL8
contig_1	949692	949799	+	MPDKNC_01032	4.1	6.0		SO:0001217, UniRef:UniRef50_A0A5D4RZC7, UniRef:UniRef90_A0A5D4RZC7
contig_1	958127	958282	+	MPDKNC_01043	6.1	9.1		
contig_1	960742	961020	+	MPDKNC_01047	10.7	5.8		RefSeq:WP_238283791.1, SO:0001217, UniParc:UPI001EE3228F, UniRef:UniRef100_UPI001EE3228F, UniRef:UniRef50_A0A0M0G5G8, UniRef:UniRef90_A0A0M0G5G8
contig_1	963998	964699	-	MPDKNC_01053	26.9	5.0	PF00805.28|Pentapeptide, PF13508.13|Acetyltransf_7, PF13599.12|Pentapeptide_4, PF13673.13|Acetyltransf_10	PFAM:PF00805.28, PFAM:PF13508.13, PFAM:PF13599.12, PFAM:PF13673.13
contig_1	964721	965170	-	MPDKNC_01054	16.8	4.5		RefSeq:WP_238283795.1, SO:0001217, UniParc:UPI001EE2D618, UniRef:UniRef100_UPI001EE2D618, UniRef:UniRef50_A0A165L3C5, UniRef:UniRef90_A0A165L3C5
contig_1	969901	970107	-	MPDKNC_01059	8.0	6.7		
contig_1	971097	971516	-	MPDKNC_01061	14.9	6.6		RefSeq:WP_238283800.1, SO:0001217, UniParc:UPI001EE1D18F, UniRef:UniRef100_UPI001EE1D18F, UniRef:UniRef50_A0A0M0G4M3, UniRef:UniRef90_UPI001EE1D18F
contig_1	971828	972190	-	MPDKNC_01063	13.3	9.0		SO:0001217, UniRef:UniRef50_A0A0M0G5F6, UniRef:UniRef90_A0A5D4RXA0
contig_1	976578	976922	+	MPDKNC_01067	13.4	9.2		SO:0001217, UniRef:UniRef50_UPI002853014C, UniRef:UniRef90_UPI00295E3273
contig_1	977071	977415	+	MPDKNC_01068	13.3	7.9		RefSeq:WP_238283805.1, SO:0001217, UniParc:UPI001EE193BD, UniRef:UniRef100_UPI001EE193BD, UniRef:UniRef50_A0A5D4U2Y0, UniRef:UniRef90_UPI00203CC2E1
contig_1	979356	979676	+	MPDKNC_01071	11.4	9.9		SO:0001217, UniRef:UniRef50_A0A165L377, UniRef:UniRef90_A0A0M0G5Q4
contig_1	989225	989455	-	MPDKNC_01080	8.8	4.9		RefSeq:WP_048013703.1, SO:0001217, UniParc:UPI00064F0E51, UniRef:UniRef100_UPI00064F0E51, UniRef:UniRef50_UPI00064F0E51, UniRef:UniRef90_UPI00064F0E51
contig_1	990125	990241	-	MPDKNC_01081	4.3	7.9		
contig_1	1011951	1012409	+	MPDKNC_01093	17.3	4.5		SO:0001217, UniRef:UniRef50_A0A161TAT1, UniRef:UniRef90_A0A161TAT1
contig_1	1017062	1017241	-	MPDKNC_01099	6.6	5.9		SO:0001217, UniRef:UniRef50_UPI0027A8CD43
contig_1	1018893	1019603	+	MPDKNC_01102	26.4	4.5		SO:0001217, UniRef:UniRef50_A0A0M0G5B7, UniRef:UniRef90_A0A0M0G5B7
contig_1	1021264	1021947	+	MPDKNC_01105	25.4	4.3		SO:0001217, UniRef:UniRef50_A0A0M0G4I4, UniRef:UniRef90_A0A0M0G4I4
contig_1	1050560	1050913	+	MPDKNC_01133	13.3	5.1		SO:0001217, UniRef:UniRef50_A0A0M0G4K3, UniRef:UniRef90_A0A5D4RYZ4
contig_1	1058060	1058257	+	MPDKNC_01142	7.0	8.1		SO:0001217, UniRef:UniRef50_UPI001EE37B20, UniRef:UniRef90_UPI001EE37B20
contig_1	1065525	1065779	-	MPDKNC_01153	9.4	4.3		RefSeq:WP_337946932.1, SO:0001217, UniParc:UPI0030808955, UniRef:UniRef100_UPI0030808955, UniRef:UniRef50_UPI0030808955, UniRef:UniRef90_UPI0030808955
contig_1	1065776	1065922	-	MPDKNC_01154	5.8	4.7		
contig_1	1067852	1068169	-	MPDKNC_01158	11.7	9.7		RefSeq:WP_238283859.1, SO:0001217, UniParc:UPI001EE16D1B, UniRef:UniRef100_UPI001EE16D1B, UniRef:UniRef50_A0A0M0G4B4, UniRef:UniRef90_A0A0M0G4B4
contig_1	1068818	1068925	-	MPDKNC_01160	3.7	5.8		
contig_1	1068925	1069104	-	MPDKNC_01161	6.8	9.3		RefSeq:WP_238283861.1, SO:0001217, UniParc:UPI001EE35749, UniRef:UniRef100_UPI001EE35749, UniRef:UniRef50_UPI001EE35749, UniRef:UniRef90_UPI001EE35749
contig_1	1069460	1069720	-	MPDKNC_01163	9.8	8.7		RefSeq:WP_238283863.1, SO:0001217, UniParc:UPI001EE22A15, UniRef:UniRef100_UPI001EE22A15, UniRef:UniRef50_UPI001EE22A15, UniRef:UniRef90_UPI001EE22A15
contig_1	1071367	1072830	+	MPDKNC_01166	56.8	9.5		SO:0001217, UniRef:UniRef50_UPI00296E3DA4, UniRef:UniRef90_UPI00296E3DA4
contig_1	1084464	1084646	-	MPDKNC_01183	6.5	4.9		RefSeq:WP_238283879.1, SO:0001217, UniParc:UPI001EE28F27, UniRef:UniRef100_UPI001EE28F27, UniRef:UniRef50_A0A0J5V8Z9, UniRef:UniRef90_A0A0J5V8Z9
contig_1	1095878	1096093	+	MPDKNC_01196	8.8	5.8		SO:0001217, UniRef:UniRef50_A0A0M0G4A9
contig_1	1098666	1098959	-	MPDKNC_01199	11.1	8.9		
contig_1	1099022	1099390	+	MPDKNC_01200	14.0	4.8		RefSeq:WP_238283891.1, SO:0001217, UniParc:UPI001EE185B2, UniRef:UniRef100_UPI001EE185B2, UniRef:UniRef50_A0A0M0G5B1, UniRef:UniRef90_A0A5D4RUS6
contig_1	1104051	1104224	+	MPDKNC_01204	6.8	10.4		RefSeq:WP_238283894.1, SO:0001217, UniParc:UPI001EE285AF, UniRef:UniRef100_UPI001EE285AF, UniRef:UniRef50_UPI001EE285AF, UniRef:UniRef90_UPI001EE285AF
contig_1	1104203	1104481	+	MPDKNC_01205	10.5	4.4		RefSeq:WP_238283895.1, SO:0001217, UniParc:UPI001EE242B3, UniRef:UniRef100_UPI001EE242B3, UniRef:UniRef50_UPI001EE242B3, UniRef:UniRef90_UPI001EE242B3
contig_1	1105181	1105357	+	MPDKNC_01207	6.7	10.0		RefSeq:WP_156183332.1, SO:0001217, UniParc:UPI000A850016, UniRef:UniRef100_UPI000A850016, UniRef:UniRef50_UPI00296E682F, UniRef:UniRef90_UPI00296E682F
contig_1	1113979	1114278	-	MPDKNC_01216	11.1	9.0		SO:0001217, UniRef:UniRef50_A0A0M0G4D2
contig_1	1117068	1117271	-	MPDKNC_01221	7.8	8.9		
contig_1	1118633	1118992	+	MPDKNC_01223	13.5	9.6		RefSeq:WP_238283908.1, SO:0001217, UniParc:UPI001EE24731, UniRef:UniRef100_UPI001EE24731, UniRef:UniRef50_A0A0M0G4X0, UniRef:UniRef90_UPI001EE24731
contig_1	1125175	1125456	+	MPDKNC_01231	10.0	4.4		RefSeq:WP_238283912.1, SO:0001217, UniParc:UPI001EE2508C, UniRef:UniRef100_UPI001EE2508C, UniRef:UniRef50_A0A0J5T0J8, UniRef:UniRef90_A0A0J5T0J8
contig_1	1141753	1142214	-	MPDKNC_01247	17.2	9.2		RefSeq:WP_238283924.1, SO:0001217, UniParc:UPI001EE2159A, UniRef:UniRef100_UPI001EE2159A, UniRef:UniRef50_A0A5D4RZG4, UniRef:UniRef90_A0A5D4RZG4
contig_1	1145015	1145311	+	MPDKNC_01251	10.8	9.3		RefSeq:WP_079515208.1, SO:0001217, UniParc:UPI0009A826CB, UniRef:UniRef100_UPI0009A826CB, UniRef:UniRef50_A0A5D4RV52, UniRef:UniRef90_A0A5D4RV52
contig_1	1171331	1171420	+	MPDKNC_01280	3.5	10.0		
contig_1	1184790	1185035	+	MPDKNC_01296	9.2	9.9		RefSeq:WP_238283961.1, SO:0001217, UniParc:UPI001EE1D3AC, UniRef:UniRef100_UPI001EE1D3AC, UniRef:UniRef50_A0A0M0G407, UniRef:UniRef90_A0A5D4RZD2
contig_1	1185146	1185865	-	MPDKNC_01297	27.3	5.0		RefSeq:WP_238283962.1, SO:0001217, UniParc:UPI001EE22F65, UniRef:UniRef100_UPI001EE22F65, UniRef:UniRef50_A0A0M0G438, UniRef:UniRef90_A0A5D4RX06
contig_1	1190839	1191084	+	MPDKNC_01302	9.3	5.5		
contig_1	1195677	1195838	+	MPDKNC_01311	6.1	9.7		SO:0001217, UniRef:UniRef50_UPI002041B50E, UniRef:UniRef90_UPI002041B50E
contig_1	1195838	1196044	+	MPDKNC_01312	8.0	9.5		RefSeq:WP_238283970.1, SO:0001217, UniParc:UPI001EE2010D, UniRef:UniRef100_UPI001EE2010D, UniRef:UniRef50_UPI001EE2010D, UniRef:UniRef90_UPI001EE2010D
contig_1	1209193	1210122	+	MPDKNC_01328	33.7	4.1		RefSeq:WP_148985229.1, SO:0001217, UniParc:UPI0011E98A90, UniRef:UniRef100_A0A5D4RV26, UniRef:UniRef50_A0A0M0G4M6, UniRef:UniRef90_A0A0M0G4M6
contig_1	1227051	1227167	-	MPDKNC_01346	4.2	6.0		
contig_1	1231475	1232239	+	MPDKNC_01353	29.0	9.4		RefSeq:WP_056534410.1, SO:0001217, UniParc:UPI0006F1E78E, UniRef:UniRef100_UPI0006F1E78E, UniRef:UniRef50_A0A5D4RWD6, UniRef:UniRef90_A0A5D4RWD6
